1	24651550	24652505	.	1000	.	528.85560	-1	-1	648	5.00	5.00	24651551	24652500	281.79300	469	24651550	24652505	247.06260	474
9	44792457	44793151	.	1000	.	207.65000	-1	-1	287	5.00	5.00	44792465	44792993	88.70600	280	44792457	44793151	118.94400	287
11	77872273	77874122	.	1000	.	124.96060	-1	-1	395	5.00	5.00	77872456	77874086	54.52080	580	77872273	77874122	70.43980	779
6	92068238	92069496	.	1000	.	121.00570	-1	-1	989	5.00	5.00	92068302	92069468	62.32500	546	92068238	92069496	58.68070	596
Y	90808391	90816068	.	1000	.	95.43903	-1	-1	789	5.00	5.00	90808418	90815987	41.12197	908	90808391	90816068	54.31706	2155
13	73476288	73476939	.	1000	.	93.24120	-1	-1	281	5.00	5.00	73476321	73476883	44.92900	245	73476288	73476939	48.31220	285
2	157870230	157870864	.	1000	.	93.07220	-1	-1	335	5.00	5.00	157870320	157870815	44.54410	243	157870230	157870864	48.52810	338
15	102378657	102379921	.	1000	.	88.33221	-1	-1	263	5.00	5.00	102378657	102379857	33.44761	560	102378676	102379921	54.88460	545
10	80736016	80737173	.	1000	.	87.71842	-1	-1	789	5.00	5.00	80736062	80737160	41.36622	457	80736016	80737173	46.35220	540
5	134342405	134344107	.	1000	.	87.45900	-1	-1	1339	5.00	5.00	134342438	134343951	43.69350	795	134342405	134344107	43.76550	844
6	71807914	71809185	.	1000	.	86.20010	-1	-1	306	5.00	5.00	71807959	71809117	40.42540	578	71807914	71809185	45.77470	645
2	53081012	53082278	.	1000	.	84.56018	-1	-1	293	5.00	5.00	53081063	53082054	42.15688	549	53081012	53082278	42.40330	292
2	154498299	154499318	.	1000	.	83.57300	-1	-1	539	5.00	5.00	154498476	154499083	37.86450	367	154498299	154499318	45.70850	534
1	57445455	57446180	.	1000	.	82.52570	-1	-1	372	5.00	5.00	57445584	57446153	38.51390	244	57445455	57446180	44.01180	371
10	80971812	80973780	.	1000	.	81.25003	-1	-1	1429	5.00	5.00	80971861	80973437	34.88173	822	80971812	80973780	46.36830	1139
16	18066104	18066945	.	1000	.	80.07400	-1	-1	470	5.00	5.00	18066130	18066945	38.96040	438	18066104	18066910	41.11360	476
11	121342542	121343044	.	1000	.	78.01640	-1	-1	224	5.00	5.00	121342569	121343044	33.31740	196	121342542	121343015	44.69900	225
11	74539734	74540553	.	1000	.	76.84960	-1	-1	493	5.00	5.00	74539840	74540518	34.50390	387	74539734	74540553	42.34570	494
5	34526553	34527376	.	1000	.	76.73890	-1	-1	574	5.00	5.00	34526679	34527376	33.48430	449	34526553	34527366	43.25460	574
12	85420805	85421994	.	1000	.	75.39330	-1	-1	882	5.00	5.00	85420848	85421973	35.30640	529	85420805	85421994	40.08690	544
4	139107511	139108554	.	1000	.	75.22509	-1	-1	340	5.00	5.00	139107625	139108072	27.70030	230	139107511	139108554	47.52479	634
1	55126559	55127738	.	1000	.	74.50239	-1	-1	668	5.00	5.00	55126559	55127656	39.04859	391	55126578	55127738	35.45380	667
16	43959365	43960768	.	1000	.	72.96564	-1	-1	812	5.00	5.00	43959365	43960560	26.58154	523	43959385	43960768	46.38410	475
5	92285470	92286421	.	1000	.	72.84718	-1	-1	238	5.00	5.00	92285502	92286386	32.82361	465	92285470	92286421	40.02357	495
10	119075573	119076725	.	1000	.	72.84037	-1	-1	466	5.00	5.00	119075573	119076708	35.38678	690	119075618	119076725	37.45359	581
17	34822343	34823897	.	1000	.	70.38270	-1	-1	815	5.00	5.00	34822384	34823811	30.18872	494	34822343	34823897	40.19398	503
19	45986311	45987445	.	1000	.	70.31430	-1	-1	330	5.00	5.00	45986311	45987322	25.17530	328	45986338	45987445	45.13900	502
14	21550246	21551544	.	1000	.	70.19930	-1	-1	1010	5.00	5.00	21550352	21551517	32.30120	664	21550246	21551544	37.89810	734
